,Date,Timestamp,Latitude,Longitude,Trajectory,Time
0,2008-09-26,10:44:08,39.9756783,116.3308383,1,54816248
1,2008-09-26,10:44:14,39.9756649,116.3308749,1,54816254
2,2008-09-26,10:44:17,39.97564,116.3308749,1,54816257
3,2008-09-26,10:44:20,39.9756533,116.3308583,1,54816260
4,2008-09-26,10:44:23,39.9756316,116.3308299,1,54816263
5,2008-09-26,10:45:10,39.9753166,116.3306299,1,54816310
6,2008-09-26,10:45:13,39.9753566,116.3305916,1,54816313
7,2008-09-26,10:45:16,39.9753516,116.3305249,1,54816316
8,2008-09-26,10:45:19,39.9753083,116.3305,1,54816319
9,2008-09-26,10:45:23,39.9753833,116.3305116,1,54816323
10,2008-09-26,10:45:26,39.9754633,116.3305333,1,54816326
11,2008-09-26,10:45:32,39.9753683,116.33064,1,54816332
12,2008-09-26,10:45:35,39.9753416,116.33064,1,54816335
13,2008-09-26,10:45:40,39.97536,116.3306283,1,54816340
14,2008-09-26,10:45:43,39.9753466,116.3306449,1,54816343
15,2008-09-26,10:46:29,39.9754799,116.3293666,1,54816389
16,2008-09-26,10:46:31,39.9754716,116.3293066,1,54816391
17,2008-09-26,10:46:33,39.9754466,116.3292849,1,54816393
18,2008-09-26,10:46:36,39.9754333,116.3292916,1,54816396
19,2008-09-26,10:46:39,39.9754166,116.3292283,1,54816399
20,2008-09-26,10:46:43,39.9754183,116.3292783,1,54816403
21,2008-09-26,10:46:46,39.9753583,116.3292049,1,54816406
22,2008-09-26,10:46:49,39.9753083,116.3291383,1,54816409
23,2008-09-26,10:46:52,39.9752233,116.3291316,1,54816412
24,2008-09-26,10:46:54,39.9751833,116.3291033,1,54816414
25,2008-09-26,10:46:56,39.9751699,116.3290466,1,54816416
26,2008-09-26,10:46:58,39.9751283,116.3290616,1,54816418
27,2008-09-26,10:47:00,39.9750883,116.3291666,1,54816420
28,2008-09-26,10:47:02,39.9750683,116.3293,1,54816422
29,2008-09-26,10:47:04,39.9750583,116.3293983,1,54816424
30,2008-09-26,10:47:06,39.9750516,116.3294766,1,54816426
31,2008-09-26,10:47:08,39.9750333,116.3295716,1,54816428
32,2008-09-26,10:47:10,39.9750266,116.3296733,1,54816430
33,2008-09-26,10:47:12,39.9750216,116.3297716,1,54816432
34,2008-09-26,10:47:14,39.9750333,116.3298516,1,54816434
35,2008-09-26,10:47:16,39.9750333,116.3299066,1,54816436
36,2008-09-26,10:47:18,39.9750366,116.3299733,1,54816438
37,2008-09-26,10:47:20,39.9750483,116.3300366,1,54816440
38,2008-09-26,10:47:22,39.97504,116.3301216,1,54816442
39,2008-09-26,10:47:24,39.9750366,116.33019,1,54816444
40,2008-09-26,10:47:26,39.9750316,116.3302699,1,54816446
41,2008-09-26,10:47:28,39.9750349,116.3303366,1,54816448
42,2008-09-26,10:47:30,39.9750933,116.3303666,1,54816450
43,2008-09-26,10:47:32,39.9751366,116.3304283,1,54816452
44,2008-09-26,10:47:34,39.9751433,116.3305183,1,54816454
45,2008-09-26,10:47:36,39.9751449,116.3306149,1,54816456
46,2008-09-26,10:47:38,39.97515,116.3307383,1,54816458
47,2008-09-26,10:47:40,39.9751533,116.3308183,1,54816460
48,2008-09-26,10:47:42,39.9751549,116.3309633,1,54816462
49,2008-09-26,10:47:44,39.9751466,116.3310233,1,54816464
50,2008-09-26,10:47:46,39.9751316,116.3310399,1,54816466
51,2008-09-26,10:47:48,39.9751449,116.3310999,1,54816468
52,2008-09-26,10:47:50,39.9751549,116.3311399,1,54816470
